,SOC 2018 CODE,SOC 2018 CODE_with_x,SOC 2018 CODE_with_xx,OCCUPATION,OCC_CODE,TOT_EMP,H_MEAN,A_MEAN,O_GROUP,I_GROUP,"Percent of workers, reaching at or below the shoulder is required","Percent of workers, choice of sitting or standing is allowed","Percent of workers, reaching at or below the shoulder is required, both hands","Percent of workers, fine manipulation is required, both hands","Percent of workers, reaching overhead is required, one hand","Percent of workers, reaching overhead is required, both hands","Hours of standing, mean",PCT_STAND,"Hours of sitting, mean",PCT_SIT,STANDING_BOOLEAN,SITTING_BOOLEAN,"Percent of workers, choice of sitting or standing is not allowed","Percent of workers, with the ability to pause work","Percent of workers, fine manipulation is required, one hand","Percent of workers, exposed to very loud noise","Percent of workers, hearing over the telephone is required","Percent of workers, exposed to outdoors","Percent of workers, low postures are required","Percent of workers, exposed to wetness","Percent of workers, reaching overhead is required","Percent of workers, stooping is required","Percent of workers, foot or leg controls is required","Percent of day where standing is required, mean","Percent of day where sitting is required, mean","Percent of workers, problem solving is required once per day","Percent of workers, problem solving is required less often than monthly, including never","Percent of workers, crawling is required","Percent of workers, kneeling is required","Percent of workers, crouching is required","Percent of workers, keyboarding is required","Percent of workers, driving is required","Percent of workers, with telework available","Percent of workers, minimum education level is a bachelor's degree","Percent of workers, gross manipulation is required","Percent of workers, fine manipulation is required","Percent of workers, working around crowds is required","Percent of workers, exposed to extreme cold","Percent of workers, exposed to extreme heat","Percent of workers, speaking is required","Percent of workers, exposed to heights","Percent of workers, in proximity to moving mechanical parts","Percent of workers, climbing ladders, ropes, or scaffolds is required","Percent of workers, exposed to hazardous contaminants","Percent of workers, exposed to loud noise","Percent of workers, without the ability to pause work","Percent of workers, lifting or carrying > 25 lbs is required, constantly","Percent of workers, problem solving is required not every week, but at least once per month","Percent of workers, problem solving is required not every day, but at least once per week",dots,OCC_SHORT,INJURY_RATE,nonwhite_pct,white_pct,black_pct,hisp_pct,asian_pct,noncitizen_pct,n
1,274014,27401X,2740XX,Sound engineering technicians,274014,14600,35.62,74100,detailed,cross-industry,,,,73.6,,,,,,,,,,,,<0.5,97.3,,,<0.5,,<5,4.1,,,,,1.2,<0.5,<5,91.1,3.8,<10,9.7,>99.5,>99.5,<5,<0.5,<0.5,>99.5,8.6,<0.5,14.6,<0.5,3.6,,<0.5,,,1,Sound Techs,,18.3835240,81.6164760,6.8381817,12.5328854,4.7339115,5.92674258,400
3,151241,15124X,1512XX,Computer network architects,151241,174100,64.39,133930,detailed,cross-industry,40.6,>85,37.7,51.8,,,,,,,,,<15,96.7,48.2,<0.5,>95,,10,<0.5,7.9,1.5,24.9,,,,,<0.5,<5,<5,>99.5,25.1,,68.9,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,1.5,<0.5,<0.5,3.3,<0.5,,,4,Network Architects,1.9,29.0214567,70.9785433,10.1347605,10.0045804,12.3341610,7.662946088,164
69,132071,13207X,1320XX,Credit counselors,132071,27950,25.69,53440,detailed,cross-industry,,,,,,,,,,,,,,,,<0.5,>99.5,<5,,<0.5,,,,,,14.1,,,,,,,,,,,,<0.5,<0.5,>99.5,<0.5,<0.5,,<0.5,<0.5,,,<10,7.5,1,Credit Counselors,7.9,20.4448725,79.5551275,9.6148575,12.5900689,4.6774651,2.33689693,368
41,291122,29112X,2911XX,Occupational therapists,291122,144840,46.54,96790,detailed,cross-industry,92.8,48.9,91.3,73.9,9.8,50.6,,,,,,,51.1,65.3,26.1,<0.5,97.1,12.7,86.8,71.5,60.3,28.5,33.3,,,,,<0.5,20.3,21.6,>90,26,3.7,41.5,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<5,<0.5,<0.5,<0.5,34.7,<0.5,,,3,Occupational Therapists,339.6,15.7241436,84.2758564,5.3717947,5.6574943,6.5383480,2.830031202,195
86,299091,29909X,2990XX,Athletic trainers,299091,28480,*,61540,detailed,cross-industry,98.9,24.2,98.9,69.5,,,,,,,,,75.8,36.5,30.5,<0.5,>99.5,88.6,>90,53.5,,,47.7,,,,,,,,>90,44.1,<0.5,81.8,>99.5,>99.5,<10,<10,<0.5,>99.5,<0.5,<0.5,<5,<0.5,5.2,63.5,,,,1,Athletic Trainers,50.2,22.9039732,77.0960268,11.0440515,11.5961697,5.4571202,3.537771634,366
48,291125,29112X,2911XX,Recreational therapists,291125,15540,29.28,60910,detailed,cross-industry,93.6,,92.7,70.8,1,63.7,,,,,,,,61.1,29.2,<0.5,96.6,61,88.8,45.9,64.6,16.5,18.5,,,,,<5,9.4,14.6,98.1,12.3,<0.5,73.3,>99.5,>99.5,1.3,<0.5,<0.5,>99.5,<0.5,<5,<0.5,<0.5,<0.5,38.9,<0.5,,,1,Recreational Therapists,401,15.7241436,84.2758564,12.2394282,7.9114552,5.1866190,3.548739329,392
21,291181,29118X,2911XX,Audiologists,291181,13880,44.53,92620,detailed,cross-industry,77.6,93.1,69.8,43.4,,,,,,,,,6.9,73.1,56.6,<0.5,>95,<15,,28.1,,,,,,,,<0.5,<0.5,0.6,>99.5,12.4,<0.5,2.6,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<0.5,26.9,,,,1,Audiologists,271.8,11.2652314,88.7347686,3.2771324,6.1474484,3.5347828,1.78095195,408
51,291031,29103X,2910XX,Dietitians and nutritionists,291031,73860,34.27,71280,detailed,cross-industry,,,,50.3,,,,,,,,,,59.8,49.7,,>95,<5,,26.4,,,8,,,,,,,,>99.5,3.2,5.5,78.6,>99.5,>99.5,<0.5,1.2,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,,40.2,,,,2,Dietitians,208.3,24.6922377,75.3077623,12.5419276,8.9234474,6.3956716,3.808473874,285
1,173031,17303X,1730XX,Surveying and mapping technicians,173031,56050,26,54090,detailed,cross-industry,81.1,69.4,76.6,,,,,,,,,,30.6,90.5,,<0.5,86.3,51.3,,7.6,11.3,3.7,,,,9.9,,<0.5,0.7,<5,94.4,,2.4,2.6,>99.5,>99.5,<0.5,<0.5,<0.5,>95,3.6,3,12.3,<0.5,<0.5,9.5,<0.5,<35,2.6,2,Surveying Techs,64,11.1402147,88.8597853,4.1114594,12.0660588,1.5932944,1.911478368,322
27,292072,29207X,2920XX,Medical records specialists,292072,185690,25.81,53690,detailed,cross-industry,52.7,90.3,39.3,,2.5,7.7,,,,,,,9.7,93.3,61.4,<0.5,97,<0.5,16.7,4.5,10.2,2.7,0.5,,,3.8,69.4,<0.5,<5,<0.5,>99.5,<0.5,15.1,0.6,>99.5,>99.5,<0.5,<0.5,<0.5,98,<0.5,<0.5,<5,<0.5,<0.5,6.7,<0.5,9,13.3,4,Medical Records Specialists,351.2,27.1796044,72.8203956,14.3846783,13.0624060,5.1892863,2.189336019,154
4,119033,11903X,1190XX,"Education administrators, postsecondary",119033,167270,58.66,122010,detailed,cross-industry,44.3,>99.5,27.5,41.5,6.8,7.3,,,,,,,<0.5,>99.5,58.5,<0.5,>99.5,5.1,0.8,1,14.1,<0.5,16.7,,,,,<0.5,<0.5,<0.5,>99.5,18.9,34,39.2,>99.5,>99.5,2.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,,,4,Postsecondary Administrators,12.8,22.4157415,77.5842585,12.9114272,10.8217501,3.6071341,2.677374309,172
73,393092,39309X,3930XX,Costume attendants,393092,6300,28.96,60230,detailed,cross-industry,,,,>99.5,,,,,,,,,,9.9,<0.5,<0.5,,<20,,,,,7.9,,,<0.5,87.1,,,,12.2,<10,<20,<5,,>99.5,<20,<0.5,<0.5,>65,<0.5,16.6,<10,<0.5,<5,90.1,,,,1,Costume Assistants,50.7,45.0529523,54.9470477,9.8319109,12.9252560,23.2727244,7.862054809,451
92,291218,29121X,2912XX,Obstetricians and gynecologists,291218,19820,133.97,278660,detailed,cross-industry,95.9,28.7,>90,76.1,3.7,17.1,,,,,,,71.3,48.1,23.9,<0.5,>99.5,<0.5,57.1,,20.8,23.9,22.7,,,7.1,<15,<0.5,,1.8,>90,12.6,<0.5,<0.5,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<0.5,<0.5,51.9,<0.5,<10,18.4,1,OBGYNs,,33.1327024,66.8672976,5.3278202,7.3486329,21.5506572,6.806477986,378
80,319011,31901X,3190XX,Massage therapists,319011,92650,30.08,62560,detailed,cross-industry,>90,,96.9,96.6,4.3,14.6,,,,,,,,,<10,<0.5,,<0.5,25.1,,19,18.4,15.1,,,<5,74.9,<0.5,,,83.7,4.6,<0.5,<0.5,>99.5,>99.5,<0.5,<0.5,<0.5,>95,<0.5,<0.5,<0.5,<0.5,<0.5,,<0.5,<30,13.4,2,Massage Therapists,74.1,24.2866431,75.7133569,6.6787199,12.8548381,10.0148358,7.968961535,256
71,492096,49209X,4920XX,"Electronic equipment installers and repairers, motor vehicles",492096,8900,22.87,47570,detailed,cross-industry,>99.5,,>99.5,,,,,,,,,,,22.8,,,<30,4.8,>99.5,,,,,,,,81.7,,,,23.8,,<0.5,<0.5,>99.5,>99.5,<0.5,<0.5,<0.5,>80,<5,,3.1,<0.5,<0.5,77.2,,<5,<10,1,Auto Electronics Installers,92.4,23.7302944,76.2697056,7.1902884,15.7475617,2.9648267,3.654803901,438
54,352015,35201X,3520XX,"Cooks, short order",352015,126370,16.31,33920,detailed,cross-industry,>95,<0.5,99.1,76.3,20,56.8,7.17,89.625,0.07,0.875,89.625,1,>99.5,18.6,23.7,<0.5,30.8,42.2,82.8,90.4,76.7,24.2,<0.5,99,1,<0.5,97.6,<0.5,<0.5,<15,<15,<0.5,<0.5,<0.5,>99.5,>99.5,<0.5,47,44.5,81.7,<0.5,10.4,<0.5,<0.5,7.9,81.4,<0.5,<5,<0.5,3,Short Order Cooks,13.8,38.2852937,61.7147063,17.1743886,29.4060278,5.1615152,16.36639269,209
46,352021,35202X,3520XX,Food preparation workers,352021,879610,15.85,32960,detailed,cross-industry,97.7,1.3,90.8,84.4,12.1,64.5,5.78,72.25,0.09,1.125,72.25,1,98.7,20.3,<25,<0.5,32,22.1,88.3,93.5,76.6,20.1,2.3,98.6,1.4,<0.5,98,<0.5,<0.5,4.3,5.8,<5,<0.5,<0.5,>99.5,>99.5,<0.5,41.7,37.1,90.2,<0.5,38.7,2.6,<0.5,4.8,79.7,,1.3,<0.5,18,Food Prep Workers,252.5,32.1871982,67.8128018,13.0339473,24.5850308,6.1075551,12.59742175,34
15,119051,11905X,1190XX,Food service managers,119051,246070,33.45,69580,detailed,cross-industry,75.6,49.1,71,66,5.5,45.3,6.36,79.5,2.2,27.5,79.5,1,50.9,84.4,34,<0.5,>95,22,49.4,64.8,50.8,12.8,21.1,74.2,25.8,18.7,7.2,<0.5,2.4,7.3,96.4,19.4,0.6,10.7,>99.5,>99.5,6,32.8,18.7,>99.5,2.5,3.9,3.7,<0.5,9.1,15.6,<0.5,13.4,27.2,5,Food Service Managers,214.9,28.0301695,71.9698305,9.8754674,18.5160418,8.8243418,8.333839285,125
28,359011,35901X,3590XX,Dining room and cafeteria attendants and bartender helpers,359011,483390,15.74,32730,detailed,cross-industry,99.1,<0.5,93.8,63.7,8.3,43.4,6.22,77.75,0.09,1.125,77.75,1,>99.5,22.3,25.4,<0.5,17.8,30.7,91.8,96.3,51.7,24.6,<0.5,98.7,1.3,<0.5,>99.5,<0.5,<5,5,4.5,<0.5,<0.5,<0.5,>99.5,89,4.3,11,5.2,80.5,<0.5,<0.5,<0.5,<0.5,10.8,77.7,<0.5,<0.5,<0.5,10,Cafeteria Attendants,118.7,30.5690569,69.4309431,11.8056151,28.1957753,5.4063011,10.68838858,65
78,533031,53303X,5330XX,Driver/sales workers,533031,463120,18.38,38230,detailed,cross-industry,>95,7,94.1,60.5,0.5,56.9,3.37,42.125,3.19,39.875,1,1,93,41.6,39.5,<0.5,88.8,72,67.1,50.2,57.5,23.1,>99.5,50.9,49.1,<0.5,98.5,<0.5,<0.5,3.4,12.4,>99.5,<0.5,<0.5,>99.5,>99.5,<5,33.3,4.3,>85,3.9,<10,4.6,<0.5,<5,58.4,<0.5,0.8,<0.5,10,Driver/Sales Workers,210.4,28.7510063,71.2489937,16.5163042,20.9147077,2.5653892,8.16960067,68
93,353041,35304X,3530XX,"Food servers, nonrestaurant",353041,267840,16.27,33840,detailed,cross-industry,>75,1.6,,67.7,3.9,59.3,6.59,82.375,0.34,4.25,82.375,1,98.4,51,32.3,<0.5,33.6,24.1,79.6,76.5,63.2,17.1,4.3,95.3,4.7,<0.5,>99.5,<0.5,2.6,6.4,4.1,2.2,<0.5,<0.5,>99.5,>99.5,1.3,15.2,3.3,91.6,<0.5,<0.5,<0.5,<0.5,2.2,49,<0.5,<0.5,<0.5,6,Nonrestaurant Servers,254.2,37.6277577,62.3722423,18.7414117,18.7690477,6.8387518,7.402602387,122
25,513021,51302X,5130XX,Butchers and meat cutters,513021,136330,19.08,39680,detailed,cross-industry,>95,<10,96.1,69.5,4.2,58.2,7.53,94.125,,,94.125,,>90,16.8,30.5,<0.5,53.2,4.7,91.1,90.7,62.4,25.7,7.2,99.7,,<0.5,99.2,<0.5,<10,6.3,4.5,<0.5,<0.5,<0.5,>99.5,>99.5,<0.5,86.7,2.9,98.3,<10,90,<5,<0.5,2.9,83.2,,<5,<0.5,3,Butchers,213,36.2259618,63.7740382,16.6290623,30.6082249,4.9579808,19.25063809,201
71,311133,31113X,3111XX,Psychiatric aides,311133,32310,19.71,41000,detailed,cross-industry,87.2,6.7,>70,72.7,<0.5,,6.14,76.75,1.83,22.875,76.75,1,93.3,15.9,27.3,<0.5,95.6,,>95,,67.6,45.5,37.6,76.9,23.1,<5,94,<5,<25,15.8,75,,<0.5,,>99.5,>99.5,<10,<0.5,,>99.5,<0.5,<0.5,<0.5,<0.5,<5,84.1,<0.5,4.1,<5,1,Psychiatric Aides,771.9,49.3905854,50.6094146,34.5604808,15.7259579,3.9044891,3.447830579,363
53,492022,49202X,4920XX,"Telecommunications equipment installers and repairers, except line installers",492022,159670,30.77,64010,detailed,cross-industry,>99.5,,99.4,>99.5,<5,99.2,,,,,,,,,<0.5,,>99.5,>75,>99.5,1.1,>99.5,,98.8,,,,,36.9,<10,6,>65,98.8,<0.5,,>99.5,>99.5,<0.5,<0.5,,>99.5,85.7,<40,98.9,<0.5,,,,,,4,Telecom Installers,202.2,24.8337740,75.1662260,12.9574011,16.4527867,3.6636765,5.445871414,177
94,332011,33201X,3320XX,Firefighters,332011,315460,29.03,60390,detailed,cross-industry,>95,<5,99,86.7,0.8,98.2,,,,,,,>95,<0.5,13.3,<10,78.4,>99.5,98.4,96.9,99,60.8,95,,,8.3,48.7,71.9,62.3,61,77.7,90.9,<0.5,<0.5,>99.5,>99.5,59.4,4.7,96.8,>99.5,96.3,59.7,97.3,96.3,35.5,>99.5,,14.7,13.5,7,Firefighters,149.5,15.0072914,84.9927086,7.3085059,11.5912057,1.2916246,1.156121074,105
33,192031,19203X,1920XX,Chemists,192031,83530,45.94,95560,detailed,cross-industry,72,62.2,,54.6,10.7,36.9,4.22,52.75,3.79,47.375,52.75,1,37.8,71.3,45.4,<0.5,88.6,2.1,36.8,47.4,47.6,6.5,4.7,52.6,47.4,20,11.8,<0.5,,1.2,>99.5,3,2.3,86,>99.5,>99.5,<0.5,4.6,6.6,>99.5,<0.5,3.3,<25,86.8,<0.5,28.7,<0.5,5.9,40.2,2,Chemists,6,29.7204972,70.2795028,6.4464747,8.4346398,17.7540089,8.687183804,271
73,331021,33102X,3310XX,First-line supervisors of fire fighting and prevention workers,331021,84120,43.63,90740,detailed,cross-industry,96.6,14.2,>90,81.2,4.3,86.8,,,,,,,85.8,26.6,18.8,1.3,>95,96.5,89.1,83,91.1,59.9,95.2,,,23.1,4.4,61.4,57.1,56.5,97.2,95.2,<0.5,15.5,>99.5,>99.5,57.6,1.8,78.6,>99.5,78.7,57.7,86.9,80.2,40.3,73.4,,11.9,16.5,2,Firefighting Supervisors,95.6,10.6370886,89.3629114,4.4380117,6.8679183,1.1148788,0.5822512613,269
16,519124,51912X,5191XX,"Coating, painting, and spraying machine setters, operators, and tenders",519124,155880,23.31,48480,detailed,cross-industry,95.7,3.2,88.1,70.6,6.2,71.3,7.87,98.375,0.51,6.375,98.375,1,96.8,41,,<0.5,12.8,30.5,87.6,36.6,77.5,29.7,31.6,93.9,6.1,<10,87,<10,21.1,25.5,30.6,26.4,<0.5,<0.5,>99.5,>99.5,<0.5,<0.5,17.3,88.4,19.8,21.1,18.6,76,13.9,59,<0.5,0.8,8.2,4,Paint Machine Operators,149.1,23.6150926,76.3849074,11.0780997,28.5109939,2.1787540,13.85506649,183
63,472141,47214X,4721XX,"Painters, construction and maintenance",472141,215910,25.05,52110,detailed,cross-industry,>99.5,1.9,98.8,79.3,4.8,90.2,7.7,96.25,0.4,5,96.25,1,98.1,74.1,20.7,<0.5,23.7,84,>99.5,61.5,95,,20.7,95.2,4.8,7.5,90.1,9.1,23.1,21.7,2,16.7,<0.5,<0.5,>99.5,>99.5,<0.5,<10,<5,78.5,89.2,1.1,98.9,64.7,9.1,25.9,<0.5,<0.5,1.8,5,Painters (Construction),89.9,19.0623282,80.9376718,5.8932706,45.3159537,1.3030583,30.913368,138
36,194042,19404X,1940XX,"Environmental science and protection technicians, including health",194042,32390,27.63,57470,detailed,cross-industry,87.4,48.6,68.7,67.4,16.5,19.8,4.13,51.625,4.04,50.5,51.625,50.5,51.4,>85,32.6,<0.5,>99.5,87,>90,55.4,36.3,,73.2,50.5,49.5,<20,37,,36.5,29.8,>90,71.6,<0.5,43.7,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<45,<5,39.1,64.5,<0.5,<15,<0.5,27.7,25.9,1,Environmental Techs,20.5,22.1192992,77.8807008,9.2185974,14.5887869,6.0480563,6.405547959,362
13,332021,33202X,3320XX,Fire inspectors and investigators,332021,14200,39.67,82510,detailed,cross-industry,>99.5,18.3,97.6,78.3,<15,>70,5.25,65.625,3.2,40,65.625,1,81.7,52.7,21.7,<0.5,>99.5,97.1,>99.5,53.4,88,37.7,96.4,61.4,38.6,,,29.5,29.5,37.7,>90,90.8,<0.5,,>99.5,>99.5,53.4,6,53.1,,48.2,20.1,95.5,62.9,<0.5,47.3,<0.5,,,1,Fire Inspectors,170.3,15.5523613,84.4476387,7.3029806,9.9425360,2.1312200,1.925991412,403
15,518031,51803X,5180XX,Water and wastewater treatment plant and system operators,518031,120710,27.91,58050,detailed,cross-industry,>95,22,95.5,75.2,4.4,65.5,5.7,71.25,2.45,30.625,71.25,1,78,65.9,24.8,<0.5,92.6,94.2,93.9,80,69.9,27.8,79.1,70.3,29.7,6.2,66.7,16.6,21,26.1,81.8,76.9,<5,<0.5,>99.5,>99.5,<0.5,1.1,2.9,96.2,38.1,39,60.9,62,10.1,34.1,<0.5,9.3,11.9,3,Water Plant Operators,170.2,15.0686924,84.9313076,7.5198252,11.2887689,1.3400306,1.42518019,217
69,499021,49902X,4990XX,"Heating, air conditioning, and refrigeration mechanics and installers",499021,397450,28.66,59620,detailed,cross-industry,>99.5,12.3,>99.5,88,<0.5,>99.5,6.24,78,1.81,22.625,78,1,87.7,79.1,12,<0.5,95.4,96.9,>99.5,61.2,>99.5,<40,87.7,77.5,22.5,19.5,31.7,37,,<35,26.6,85.2,<0.5,<0.5,>99.5,>99.5,<0.5,19.5,18.5,>90,87.4,47.6,99,59,1.5,20.9,<0.5,4.8,23.3,8,HVAC Mechanics,276.1,15.6820549,84.3179451,6.8582804,21.0738731,2.1544856,8.020545624,83
58,493023,49302X,4930XX,Automotive service technicians and mechanics,493023,676570,24.97,51940,detailed,cross-industry,>99.5,10.1,99.4,88.4,<0.5,>90,7.14,89.25,0.79,9.875,89.25,1,89.9,67.4,11.6,<0.5,72.3,74.4,97.5,69.8,95.9,39.7,94.6,89.9,10.1,14.6,55.9,12.8,22.4,28.7,86.2,90.9,<0.5,<0.5,>99.5,>99.5,<0.5,<0.5,2.6,97.9,11.1,65.7,17.2,56.9,21.7,32.6,<0.5,6.8,14,14,Auto Mechanics,185.9,12.5181805,87.4818195,7.7637558,24.4903901,3.4633014,10.21423091,49
22,517021,51702X,5170XX,Furniture finishers,517021,14380,20.43,42490,detailed,cross-industry,92.9,8.9,89,86.8,3.4,35.6,7.62,95.25,0.51,6.375,95.25,1,91.1,71.4,,<0.5,17.8,12,85.1,57.6,39,16.6,11.8,93.6,6.4,<15,57.2,<10,16.4,15.1,9.7,10.5,<0.5,<0.5,>99.5,>95,<0.5,<0.5,<0.5,78.3,7.8,21,8.8,55.5,4.2,28.6,,3,8.3,1,Furniture Finishers,186.7,9.8693871,90.1306129,4.0974054,20.6342391,1.0427529,11.05931424,401
88,194021,19402X,1940XX,Biological technicians,194021,76990,27.18,56540,detailed,cross-industry,68.3,76.3,54.1,62.2,,,,,,,,,23.7,,37.8,<0.5,96.2,6.7,48,68.5,17.6,13.1,7.8,,,,,<0.5,,11.4,>99.5,7.8,<5,57.4,>99.5,>99.5,<0.5,7,<0.5,>95,<0.5,<0.5,<15,51.7,,,<0.5,,,2,Bio Technicians,8.1,31.9480113,68.0519887,10.6935714,13.8633359,11.5541288,6.798133211,280
73,493093,49309X,4930XX,Tire repairers and changers,493093,101520,17.92,37280,detailed,cross-industry,>99.5,<0.5,>99.5,92.3,<10,>70,6.89,86.125,0.74,9.25,86.125,1,>99.5,24.1,7.7,<0.5,49,77.1,>95,48.7,86.8,24.6,>90,90.2,9.8,<0.5,96.1,14.2,,,55.9,86.2,<0.5,<0.5,>99.5,>99.5,<0.5,<0.5,<0.5,82.6,29.2,75.9,24.4,50.1,27,75.9,<0.5,<15,<0.5,3,Tire Changers,368.3,20.2206648,79.7793352,9.7622138,23.6523536,1.3898087,7.945043398,244
41,472082,47208X,4720XX,Tapers,472082,15560,33.32,69300,detailed,cross-industry,95.9,<0.5,95.9,75.7,<5,95.9,7.94,99.25,0.2,2.5,99.25,1,>99.5,71.3,24.3,<0.5,38.2,32,>99.5,52.7,>95,,17.4,97.5,2.5,<0.5,90.4,13.2,27.8,,<5,16.2,<0.5,<0.5,>99.5,>99.5,<0.5,<0.5,<0.5,81.5,85.2,16.1,97.1,48.9,20.4,28.7,<0.5,<15,<15,1,Tapers,352.9,18.9870230,81.0129770,3.5008276,60.0945850,0.7554978,39.39406479,391
53,493052,49305X,4930XX,Motorcycle mechanics,493052,14330,23.06,47960,detailed,cross-industry,>95,11.2,91.7,95.8,<0.5,36,6.28,78.5,1.67,20.875,78.5,1,88.8,90,4.2,<0.5,44.9,91.4,95.5,61.6,36,24,>90,79.1,20.9,<10,60.3,,12.6,12.2,83.9,76.8,<0.5,<0.5,>99.5,>99.5,<0.5,<0.5,4.6,97.9,<0.5,62.6,<0.5,47.1,37.1,10,<0.5,<5,24.1,1,Motorcycle Mechanics,302.8,9.0172658,90.9827342,3.0985427,11.9777932,1.2179042,3.379597502,402
21,395012,39501X,3950XX,"Hairdressers, hairstylists, and cosmetologists",395012,294840,20.09,41780,detailed,cross-industry,89.8,7.2,85.7,>99.5,8.5,19.8,6.69,83.625,0.38,4.75,83.625,1,92.8,49.3,<0.5,<0.5,70.6,<10,36.5,94.4,28.4,14,94.7,94.3,5.7,4.6,69.7,<0.5,,,44.9,<10,<0.5,,>99.5,>99.5,<0.5,<0.5,<10,>99.5,<0.5,<0.5,<0.5,47,<10,50.7,<0.5,19.5,4.3,6,Hairstylists,49.1,48.5453254,51.4546746,12.4276046,16.1471954,5.6925754,6.478669808,109
14,493031,49303X,4930XX,Bus and truck mechanics and diesel engine specialists,493031,285030,28.81,59920,detailed,cross-industry,97.3,12,>95,90.3,<0.5,>90,6.36,79.5,1.8,22.5,79.5,1,88,82.8,9.7,<0.5,57.5,82.6,98.9,74.6,95.6,43.2,88,78,22,,,34.5,32.7,38.4,70.2,77,<0.5,<0.5,>99.5,>99.5,<0.5,<5,22.3,94.7,43.8,64.2,62.3,46.6,30.7,17.2,<0.5,,,6,Diesel Mechanics,137.2,15.5269542,84.4730458,6.7992394,17.9997918,1.8776268,5.623291012,112
75,519023,51902X,5190XX,"Mixing and blending machine setters, operators, and tenders",519023,105740,23.05,47950,detailed,cross-industry,97.6,<10,97.6,85.3,,,7.28,91,,,91,,>90,22.2,14.7,<0.5,,,86.4,,,26.6,33.3,88,,<0.5,87.7,<0.5,<40,23.1,18.4,28.1,<0.5,<0.5,>99.5,>99.5,<0.5,<5,4,,20,28.7,12.8,45.1,35.9,77.8,<0.5,,,3,Machine Setters (Mixing),52.6,22.8310969,77.1689031,11.7218166,21.7716563,2.8135955,9.216847614,239
80,371012,37101X,3710XX,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",371012,126020,28.33,58920,detailed,cross-industry,96,29.7,>80,65.8,0.8,67.3,5.82,72.75,2.3,28.75,72.75,1,70.3,81.4,34.2,<0.5,97,>90,91.2,70.6,68.1,27.7,98.8,71.7,28.3,8.8,19.6,<0.5,16.8,19.1,,98.8,<5,8.6,>99.5,>99.5,<5,<0.5,<15,>99.5,30.9,67.5,44.3,43.9,,18.6,<0.5,18.5,24.1,3,Landscaping Supervisors,198.8,28.0666236,71.9333764,6.3147760,24.4957333,1.0958659,11.78410968,210
14,472181,47218X,4721XX,Roofers,472181,135140,26.85,55840,detailed,cross-industry,>99.5,<0.5,99.4,95.7,,,7.31,91.375,0.73,9.125,91.375,1,>99.5,,4.3,<0.5,35.2,>99.5,>99.5,,78,,,90.8,9.2,<0.5,72.2,28.1,,,<0.5,,<0.5,<0.5,>99.5,>99.5,<0.5,<0.5,10.8,85.2,>99.5,18.1,>99.5,43.9,<25,,<0.5,25.4,<10,3,Roofers,185.6,20.5371050,79.4628950,6.0746493,50.8384896,0.7283482,33.94603618,203
56,474051,47405X,4740XX,Highway maintenance workers,474051,150860,23.59,49070,detailed,cross-industry,>99.5,<10,95.2,65.3,3.5,83.4,5.37,67.125,2.76,34.5,67.125,1,>90,42.1,,<0.5,58.2,>99.5,98.7,65.9,86.8,39.3,96.6,66.3,33.7,<0.5,90,21.9,36.1,37,23.4,96,<0.5,<0.5,>99.5,>95,<0.5,<0.5,29.2,81.1,40.9,69.3,62.3,41.4,30.7,57.9,<0.5,6.4,2.6,4,Highway Workers,118.6,14.8428570,85.1571430,8.8196553,12.7739563,0.3292964,3.436573854,191
65,191041,19104X,1910XX,Epidemiologists,191041,10230,43.48,90430,detailed,cross-industry,59.5,41.3,23.8,49.9,<0.5,<5,,,,,,,58.7,>95,,<0.5,>99.5,11.1,42.2,64.2,1,,32.2,,,21,<5,<0.5,<0.5,,>99.5,32.2,33.4,44.4,>95,>95,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,41.2,<0.5,<5,<0.5,<0.5,50.6,1,Epidemiologists,18.8,16.0881430,83.9118570,4.3847713,5.3594735,7.7948405,6.997861764,431
39,499012,49901X,4990XX,"Control and valve installers and repairers, except mechanical door",499012,47780,34.79,72360,detailed,cross-industry,>99.5,15.6,>99.5,77.9,<0.5,68.2,6.24,78,1.84,23,78,1,84.4,63.4,22.1,<0.5,91.4,>95,>99.5,65.8,68.2,,>85,77.1,22.9,<10,64.5,15.1,,,57.4,>85,<0.5,<0.5,>99.5,>99.5,<0.5,<0.5,<15,>85,43.5,50.7,73.5,40.5,17,36.6,<0.5,22.5,<25,1,Valve Installers,87.5,18.7373677,81.2626323,11.0821382,15.6453716,1.9188981,4.085180356,337
